Transaction Date,Transaction Amount, Transaction Description,Account
07/09/2015  Thu,-28.25,LIRRNYTICKETS JAMAICA NY,Amex
07/11/2015  Sat,-27.54,AMAZON.COM AMZN.COM/BILL WA,Amex
07/13/2015  Mon,-5.04,AMAZON.COM AMZN.COM/BILL WA,Amex
07/13/2015  Mon,-3.99,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
07/13/2015  Mon,-18.25,LIRRNYTICKETS JAMAICA NY,Amex
07/14/2015  Tue,-26.56,AMAZON.COM AMZN.COM/BILL WA,Amex
07/15/2015  Wed,-45,DOF PARKINGANDCAMERANEW YORK NY,Amex
07/15/2015  Wed,-1.12,NYCFINANCECONVENIENCNEW YORK NY,Amex
07/15/2015  Wed,-6.52,PRET A MANGER #002 0NEW YORK NY,Amex
07/17/2015  Fri,-2,NYCDOT PARKING METERLONG IS CITY NY,Amex
07/18/2015  Sat,-42.78,SHELL OIL 5754306430NEW PALTZ NY,Amex
07/18/2015  Sat,-9.99,SPOTIFY USA 688742081013 SE,Amex
07/19/2015  Sun,-39,BROWSERSTACK.COM 9172677480 DE,Amex
07/20/2015  Mon,-14.99,EGGHEAD.IO 8176756031 TX,Amex
07/20/2015  Mon,-17.42,GRUBHUB SEAMLESS 8775857878 IL,Amex
07/20/2015  Mon,-22,KING TAI 65000000817BROOKLYN NY,Amex
07/21/2015  Tue,-15.34,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
07/21/2015  Tue,-27.66,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
07/21/2015  Tue,-96.9,MYCLEAN 650000007895NEW YORK NY,Amex
07/21/2015  Tue,394.12,ONLINE PAYMENT - THANK YOU,Amex
07/22/2015  Wed,-3.79,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
07/22/2015  Wed,-8.5,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
07/22/2015  Wed,-150,"HOMEEXCHANGE.COM, INHermosa Bch CA",Amex
07/23/2015  Thu,-11.98,GABRIELA'S TAQUERIA NEW YORK NY,Amex
07/24/2015  Fri,-17.5,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
07/25/2015  Sat,-37.62,WHISTLING WILLIES COLD SPRING NY,Amex
07/26/2015  Sun,-76.26,BROOKLYN FARE #192 5BROOKLYN NY,Amex
07/26/2015  Sun,-7.99,NETFLIX.COM NETFLIX.COM CA,Amex
07/27/2015  Mon,-40,MTA MVM*SECOND AVENUNEW YORK NY,Amex
07/28/2015  Tue,-19,RUSH 49 (877) 827-50877-827-5010 CA,Amex
07/29/2015  Wed,-6.52,PRET A MANGER #022 0NEW YORK NY,Amex
07/30/2015  Thu,-85.97,PROFLOWERS.COM 888-373-7437 CA,Amex
07/31/2015  Fri,-20,NEW YORK TIMES DIGIT800-698-4637 NY,Amex
07/31/2015  Fri,-0.25,NYCDOT PARKING METERLONG IS CITY NY,Amex
08/01/2015  Sat,-10,LINODE.COM 855-454-6633 NJ,Amex
08/01/2015  Sat,-43.02,TUXEDO GULF 00000000TUXEDO PARK NY,Amex
08/02/2015  Sun,-34.28,BROOKLYN LARDER BROOKLYN NY,Amex
08/03/2015  Mon,-4.16,AMAZON WEB SERVICES AWS.AMAZON.CO WA,Amex
08/04/2015  Tue,-19.6,METRO-BICYCLES-HK NEW YORK NY,Amex
08/05/2015  Wed,-16.99,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
08/07/2015  Fri,-12,KING TAI 65000000817BROOKLYN NY,Amex
08/07/2015  Fri,-134.3,STEVENALAN.COM NEW YORK NY,Amex
08/07/2015  Fri,-30,ZAPPOS.COM 800-927-7671 NV,Amex
08/10/2015  Mon,-19,RUSH 49 (877) 827-50877-827-5010 CA,Amex
08/11/2015  Tue,-11.97,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
08/11/2015  Tue,-8.7,PRET A MANGER #002 0NEW YORK NY,Amex
08/12/2015  Wed,-17.02,DUANE READE #14223 0NEW YORK NY,Amex
08/13/2015  Thu,-33.76,FL ROBERTS WHATELY TWHATELY MA,Amex
08/14/2015  Fri,30,ZAPPOS.COM 800-927-7671 NV,Amex
08/16/2015  Sun,-33.69,EXXONMOBIL FAIRFIELD CT,Amex
08/16/2015  Sun,-40,ZAPPOS.COM 800-927-7671 NV,Amex
08/17/2015  Mon,1345.53,ONLINE PAYMENT - THANK YOU,Amex
08/18/2015  Tue,-17.28,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
08/18/2015  Tue,-96.9,MYCLEAN 650000007895NEW YORK NY,Amex
08/18/2015  Tue,-9.99,SPOTIFY USA 719638844014 SE,Amex
08/19/2015  Wed,-40.14,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
08/19/2015  Wed,-39,BROWSERSTACK.COM 9172677480 DE,Amex
08/20/2015  Thu,-29.64,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
08/20/2015  Thu,-14.99,EGGHEAD.IO FORT WORTH TX,Amex
08/22/2015  Sat,-19.89,NYC TAXI 9D38 090001BROOKLYN NY,Amex
08/22/2015  Sat,-15.3,NYSHL TAXI AC28 0900LONG ISLAND C NY,Amex
08/24/2015  Mon,-8.48,FLAVORS NEW YORK NY,Amex
08/24/2015  Mon,-40,MTA MVM*23RD STREET NEW YORK NY,Amex
08/25/2015  Tue,-7,BELLA VITA 00-080154NEW YORK NY,Amex
08/25/2015  Tue,-22,KING TAI 65000000817BROOKLYN NY,Amex
08/26/2015  Wed,-7.99,NETFLIX.COM NETFLIX.COM CA,Amex
08/26/2015  Wed,-6.52,PRET A MANGER #002 0NEW YORK NY,Amex
08/28/2015  Fri,-20.68,7TH AVENUE WINE LIQBROOKLYN NY,Amex
08/28/2015  Fri,-20,NEW YORK TIMES DIGIT800-698-4637 NY,Amex
08/29/2015  Sat,-26.09,AMAZON.COM AMZN.COM/BILL WA,Amex
08/29/2015  Sat,-8.24,AMPLE HILLS CREAMERYBrooklyn NY,Amex
08/29/2015  Sat,-130.96,MARIETTA 88430156787BROOKLYN NY,Amex
08/30/2015  Sun,-42.69,KEY FOODS #0440 BR 5HEMPSTED NY,Amex
08/30/2015  Sun,-34.2,THE GREEN GRAPE 8843BROOKLYN NY,Amex
08/31/2015  Mon,-16.28,AMAZON.COM AMZN.COM/BILL WA,Amex
08/31/2015  Mon,-20,WEILL CORNELL DERMATNEW YORK NY,Amex
09/01/2015  Tue,-10,LINODE.COM 855-454-6633 NJ,Amex
09/01/2015  Tue,-96.9,MYCLEAN 650000007895NEW YORK NY,Amex
09/01/2015  Tue,747.95,ONLINE PAYMENT - THANK YOU,Amex
09/02/2015  Wed,-4.16,AMAZON WEB SERVICES AWS.AMAZON.CO WA,Amex
09/02/2015  Wed,0.31,AMAZON.COM AMZN.COM/BILL WA,Amex
09/03/2015  Thu,-23.01,ILILI BOX NEW YORK NY,Amex
09/05/2015  Sat,-38.37,AMAZON.COM AMZN.COM/BILL WA,Amex
09/05/2015  Sat,-3.99,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
09/06/2015  Sun,-35.57,PACIFIC STANDARD 000BROOKLYN NY,Amex
09/06/2015  Sun,-44,THE WHITNEY MUSEUM 0NEW YORK NY,Amex
09/06/2015  Sun,-5.96,THINK COFFEE 8TH New York NY,Amex
09/06/2015  Sun,-7.61,WHITNEY MUSEUM OF 54NEW YORK NY,Amex
09/07/2015  Mon,-35.92,AMAZON.COM AMZN.COM/BILL WA,Amex
09/07/2015  Mon,-15.02,FAMILY DOLLAR #6208 BROOKLYN NY,Amex
09/08/2015  Tue,-22.24,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
09/09/2015  Wed,-8.7,PRET A MANGER 0074 0NEW YORK NY,Amex
09/10/2015  Thu,-40,MTA MVM*NOSTRAND AVENEW YORK NY,Amex
09/11/2015  Fri,-48.99,42ND STREET WINE LOFNEW YORK NY,Amex
09/11/2015  Fri,-8.7,FIVE GUYS-NY #1499 5NEWYORK NY,Amex
09/12/2015  Sat,-25,JSM SERVICE INC 8493BROOKLYN NY,Amex
09/13/2015  Sun,-14.26,SHELL OIL 1000440000COLUMBIA NJ,Amex
09/14/2015  Mon,-28.71,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
09/15/2015  Tue,-96.9,MYCLEAN 650000007895NEW YORK NY,Amex
09/15/2015  Tue,-6.52,PRET A MANGER 0074 0NEW YORK NY,Amex
09/16/2015  Wed,-26.38,CLAYMONT STEAK SHOP 3526 PHILADEL DE,Amex
09/16/2015  Wed,-32.75,EZPASS PREPAID TOLL 800-333-8655 NY,Amex
09/16/2015  Wed,-152.47,FRANNY'S 00000033333BROOKLYN NY,Amex
09/16/2015  Wed,-166.45,PROJECTOR LAMPS LLC 302-5449275 DE,Amex
09/17/2015  Thu,-0.88,Greenlight Bookstore718-246-0200,Amex
09/18/2015  Fri,-53.69,FOODTOWN #602 000000BROOKLYN NY,Amex
09/18/2015  Fri,-96,Fort Defiance Brooklyn NY,Amex
09/18/2015  Fri,-10.04,KEY FOODS #1370 5429BROOKLYN NY,Amex
09/18/2015  Fri,-27.25,MTA MVM*CANAL STREETNEW YORK NY,Amex
09/18/2015  Fri,-10.43,PRET A MANGER 0074 0NEW YORK NY,Amex
09/18/2015  Fri,-9.99,SPOTIFY USA 751758082018 SE,Amex
09/19/2015  Sat,-26.25,SPRING GENERAL STORE631-329-5065,Amex
09/19/2015  Sat,-29.33,SPRING GENERAL STORE631-329-5065,Amex
09/19/2015  Sat,-58.47,STUART'S SEAFOOD MAR631-267-6700,Amex
09/20/2015  Sun,-14.99,EGGHEAD.IO TRAINING FORT WORTH TX,Amex
09/20/2015  Sun,-56.38,GOSMAN'S CLAM BAR MONTAUK NY,Amex
09/20/2015  Sun,-41,MONTAUK CITGO 000111MONTAUK NY,Amex
09/21/2015  Mon,-35.24,KEY FOODS #1370 5429BROOKLYN NY,Amex
09/21/2015  Mon,-17.42,METRO-BICYCLES-HK NEW YORK NY,Amex
09/21/2015  Mon,-422.69,VZWRLSS*WALCCRVN 8009220204,Amex
09/22/2015  Tue,-65,DOF PARKINGANDCAMERANEW YORK NY,Amex
09/22/2015  Tue,-30.87,GRUBHUB SEAMLESS 8775857878 IL,Amex
09/22/2015  Tue,-20,JACKSON DERMATOLOGY BROOKLYN NY,Amex
09/22/2015  Tue,-1.62,NYCFINANCECONVENIENCNEW YORK NY,Amex
09/22/2015  Tue,289.61,ONLINE PAYMENT - THANK YOU,Amex
09/22/2015  Tue,-416.66,TDI BROADWAY.COM TICKETING,Amex
09/22/2015  Tue,-47.41,THE CHILDRENS PLACE BROOKLYN NY,Amex
09/23/2015  Wed,-52.78,FOODTOWN #602 000000BROOKLYN NY,Amex
09/23/2015  Wed,-1,NYCDOT PARKING METERLONG IS CITY NY,Amex
09/23/2015  Wed,-8.7,PRET A MANGER 0074 0NEW YORK NY,Amex
09/24/2015  Thu,-33.93,CHAVELAS BROOKLYN NY,Amex
09/24/2015  Thu,-42.33,EVE PHARMACY 422544 BROOKLYN NY,Amex
09/24/2015  Thu,-20,MELT MASSAGE & BODYWBROOKLYN NY,Amex
09/24/2015  Thu,-0.25,PAYPAL *ELECTRICLIT 4029357733 NY,Amex
09/25/2015  Fri,-14.95,AUDIBLE 888-283-5051 NJ,Amex
09/25/2015  Fri,-20,NEW YORK TIMES DIGIT800-698-4637 NY,Amex
09/25/2015  Fri,-1,NYCDOT PARKING METERLONG IS CITY NY,Amex
09/25/2015  Fri,-21.43,"SHAKE SHACK - NY, BKBROOKLYN NY",Amex
09/25/2015  Fri,-1.56,TARGET ATLANTIC TERMBROOKLYN NY,Amex
09/25/2015  Fri,-11.09,TARGET ATLANTIC TERMBROOKLYN NY,Amex
09/26/2015  Sat,-217.64,AMAZON.COM AMZN.COM/BILL WA,Amex
09/26/2015  Sat,-3.5,GORILLA COFFEE FIFTHBrooklyn NY,Amex
09/26/2015  Sat,-58.51,Greenlight Bookstore718-246-0200,Amex
09/26/2015  Sat,-7.99,NETFLIX.COM 866-579-7172 CA,Amex
09/26/2015  Sat,-40.84,NO. 7 BROOKLYN NY,Amex
09/26/2015  Sat,-1,NYCDOT PARKING METERLONG IS CITY NY,Amex
09/26/2015  Sat,-1.5,NYCDOT PARKING METERLONG IS CITY NY,Amex
09/26/2015  Sat,-67.18,THE GREEN GRAPE 8843BROOKLYN NY,Amex
09/27/2015  Sun,-58.46,CAFE RUE DIX BROOKLYN NY,Amex
09/27/2015  Sun,-12.74,VTS NYC LPEP TAXI LONG ISLAND CITY NY,Amex
09/28/2015  Mon,-8,COUNTY PHARMACY 718-783-1143,Amex
09/28/2015  Mon,-35.22,FOODTOWN #602 000000BROOKLYN NY,Amex
09/29/2015  Tue,-27.25,MTA MVM*NOSTRAND AVENEW YORK NY,Amex
09/30/2015  Wed,-19.7,CENTRAL GROCERY NEW ORLEANS LA,Amex
09/30/2015  Wed,-13.06,CVS/PHARMACY #02728 8007467287,Amex
09/30/2015  Wed,-86.34,SYLVAIN 084870017890NEW ORLEANS LA,Amex
09/30/2015  Wed,-48.61,THREE MUSES NEW ORLEANS LA,Amex
09/30/2015  Wed,-134.06,URBAN OUTFITTERS #59NEW ORLEANS LA,Amex
10/01/2015  Thu,-5.15,EXXONMOBIL 4238 985-429-0070,Amex
10/01/2015  Thu,-126.38,GEORGIA BLUE 0700000FLOWOOD MS,Amex
10/01/2015  Thu,-2.13,HOBBY LOBBY #348 000FLOWOOD MS,Amex
10/01/2015  Thu,-5.34,HOBBY LOBBY #348 000FLOWOOD MS,Amex
10/01/2015  Thu,-4.99,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
10/01/2015  Thu,-10,LINODE.COM 855-454-6633 NJ,Amex
10/01/2015  Thu,-23.5,PARKWAY BAKERY 65000NEW ORLEANS LA,Amex
10/02/2015  Fri,-162.41,CANDLEWOOD SUITES FLFLOWOOD MS,Amex
10/02/2015  Fri,-19.61,MELBAS CAFE NEW ORLEANS LA,Amex
10/02/2015  Fri,-17.32,SHELL OIL 5754226210FLOWOOD MS,Amex
10/03/2015  Sat,-4.16,AMAZON WEB SERVICES AWS.AMAZON.CO WA,Amex
10/03/2015  Sat,-21.95,AUDUBON - AQUARIUM ANEW ORLEANS LA,Amex
10/03/2015  Sat,-7.79,AUDUBON - GIFT SHOP NEW ORLEANS LA,Amex
10/03/2015  Sat,-18.95,AUDUBON - ZOO ADMISSNEW ORLEANS LA,Amex
10/03/2015  Sat,-25,BADINE PARK FIRST NEW ORLEANS LA,Amex
10/03/2015  Sat,-20.81,CAFE BEIGNET I 1 CAFNEW ORLEANS LA,Amex
10/03/2015  Sat,-47.38,CAFE MASPERO NEW ORLEANS LA,Amex
10/04/2015  Sun,-272.13,HERTZ CAR RENTAL 800-654-4173 LA,Amex
10/04/2015  Sun,-5,JETBLUE INFLIGHT 003SALT LAKE CIT UT,Amex
10/04/2015  Sun,-84,JFK LOT 9 001 NEW YORK NY,Amex
10/04/2015  Sun,-9.12,NEW ORLEANS AIRPORT KENNER LA,Amex
10/05/2015  Mon,-68.55,FOODTOWN BROOKLYN NY,Amex
10/05/2015  Mon,-27.22,MOMA BOOKSTORE NEW YORK NY,Amex
10/05/2015  Mon,-32.98,MY ROBEEZ 8556976233 OK,Amex
10/06/2015  Tue,-6.52,PRET A MANGER 0074 0NEW YORK NY,Amex
10/06/2015  Tue,-42.82,THE GREEN GRAPE 8843BROOKLYN NY,Amex
10/07/2015  Wed,-16.64,GARVEYS HARDWARE 7187784418,Amex
10/07/2015  Wed,-20.27,KEY FOODS #1370 5429BROOKLYN NY,Amex
10/07/2015  Wed,-0.5,NYCDOT PARKING METERLONG IS CITY NY,Amex
10/08/2015  Thu,-7.88,FIKA BRYANT PARK 070NEW YORK NY,Amex
10/08/2015  Thu,-17.95,ZEYTINZ 212-575-8080,Amex
10/09/2015  Fri,-31.03,BROOKLYN LARDER BROOKLYN NY,Amex
10/09/2015  Fri,-22.19,"KLEAN KANTEEN, INC.-5305924552",Amex
10/09/2015  Fri,-7.08,MEME'S HEALTHY NIBBLBrooklyn NY,Amex
10/09/2015  Fri,-8.78,URBAN-OUTFITTERS-DIRPHILADELPHIA PA,Amex
10/10/2015  Sat,-1273,AIRBNB INC 415-800-5959 CA,Amex
10/10/2015  Sat,-40.05,HUDSON HILS MARKET ACOLD SPRING NY,Amex
10/10/2015  Sat,-610.55,JETBLUE AIRWAYS 9010JETBLUE NY,Amex
10/10/2015  Sat,-610.55,JETBLUE AIRWAYS 9010JETBLUE NY,Amex
10/11/2015  Sun,-172.37,AUTO 800-841-3000 DC,Amex
10/11/2015  Sun,4399.51,ONLINE PAYMENT - THANK YOU,Amex
10/11/2015  Sun,-31.05,THE GREEN GRAPE 8843BROOKLYN NY,Amex
10/12/2015  Mon,-57.73,FOODTOWN BROOKLYN NY,Amex
10/12/2015  Mon,-38.5,GRUBHUB SEAMLESS 8775857878 IL,Amex
10/12/2015  Mon,-21.76,KEY FOODS #1370 5429BROOKLYN NY,Amex
10/12/2015  Mon,-27.21,NYC VELO - NEW YORK NEW YORK NY,Amex
10/12/2015  Mon,-4.53,THE UPS STORE #6581 BROOKLYN NY,Amex
10/13/2015  Tue,-75.92,FRENCH LOUIE 0000003BROOKLYN NY,Amex
10/13/2015  Tue,-3.81,Greenlight Bookstore718-246-0200,Amex
10/13/2015  Tue,-20,JACKSON DERMATOLOGY BROOKLYN NY,Amex
10/13/2015  Tue,-12.63,KEY FOODS #1370 5429BROOKLYN NY,Amex
10/13/2015  Tue,-96.9,MYCLEAN 650000007895NEW YORK NY,Amex
10/14/2015  Wed,-59.95,CABLEVISION #7836 718-617-3500 NY,Amex
10/14/2015  Wed,-20.16,KEY FOODS #1370 5429BROOKLYN NY,Amex
10/14/2015  Wed,-27.25,MTA MVM*NOSTRAND AVENEW YORK NY,Amex
10/15/2015  Thu,-18.44,WALGREENS #15352 000BROOKLYN NY,Amex
10/16/2015  Fri,-23.25,BROOKLYN LARDER BROOKLYN NY,Amex
10/16/2015  Fri,-12.92,KEY FOODS #1370 5429BROOKLYN NY,Amex
10/17/2015  Sat,-34.64,EXXONMOBIL 9748 BROOKLYN NY,Amex
10/18/2015  Sun,-12,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
10/18/2015  Sun,-160,DOF PARKINGANDCAMERANEW YORK NY,Amex
10/18/2015  Sun,-106.15,FOODTOWN BROOKLYN NY,Amex
10/18/2015  Sun,-19.6,GRUBHUB SEAMLESS 8775857878 IL,Amex
10/18/2015  Sun,-3.98,NYCFINANCECONVENIENCNEW YORK NY,Amex
10/18/2015  Sun,-9.99,SPOTIFY USA 784236492012 SE,Amex
10/19/2015  Mon,-10.65,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
10/19/2015  Mon,-11.45,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
10/19/2015  Mon,-14.5,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
10/19/2015  Mon,-29.16,AMAZON MKTPLACE PMTSAMZN.COM/BILL WA,Amex
10/19/2015  Mon,-4.04,LABCORPHOLDINGS-PT MEDICAL DEN,Amex
10/19/2015  Mon,-68.05,PURL SOHO 0690000725NEW YORK NY,Amex
10/19/2015  Mon,-47.02,WALGREENS #15352 000BROOKLYN NY,Amex
10/20/2015  Tue,-14.99,EGGHEAD.IO TRAINING FORT WORTH TX,Amex
10/20/2015  Tue,-6.52,PRET A MANGER 0074 0NEW YORK NY,Amex
10/21/2015  Wed,-7.98,ITUNES.COM/BILL ITUNCUPERTINO CA,Amex
10/20/15,-11.75,MTATB REBILL AC ACH TRAN,Ally
10/19/15,1500,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
10/19/15,-11.08,MTATB REBILL AC ACH TRAN,Ally
10/16/15,-16.99,PACIFIC SUPERMA BROOKLYN,Ally
10/16/15,-416.96,VOLKSWAGEN CREDI ALLY BANK,Ally
10/15/15,-20.99,Dynamo Pinan in 610 Nostrand Avenue Brooklyn,Ally
10/14/15,-25,VENMO 08558124430,Ally
10/14/15,-10.8,COLINA CUERVO BROOKLYN,Ally
10/13/15,1188.87,eCheck Deposit,Ally
10/13/15,-41.5,DER SCHWARZE KO 710 FULTON STREET Brooklyn,Ally
10/13/15,-5.54,MTATB REBILL AC ACH TRAN,Ally
10/13/15,-5.54,MTATB REBILL AC ACH TRAN,Ally
10/10/15,6.47,ATM Fee Reimbursement,Ally
10/10/15,0.11,Interest Paid,Ally
10/9/15,-1780.71,DEAN ST,Ally
10/8/15,-40.99,573 CANDY GROCE 573 NOSTRAND AVENU BROOKLYN,Ally
10/6/15,-80.61,CON EDISON SOLUT ALLY BANK,Ally
10/2/15,-0.25,PAYPAL INST XFER,Ally
10/1/15,-1,90949 -NEW ORLEANS PAR NEW ORLEANS,Ally
9/30/15,300,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
9/30/15,-23.5,MTATB REBILL AC ACH TRAN,Ally
9/29/15,-40.99,573 CANDY GROCE 573 NOSTRAND AVENU BROOKLYN,Ally
9/29/15,-5.54,MTATB REBILL AC ACH TRAN,Ally
9/28/15,-15.99,PACIFIC SUPERMA BROOKLYN,Ally
9/28/15,-2.47,MTATB REBILL AC ACH TRAN,Ally
9/28/15,-50,PAYPAL INST XFER,Ally
9/27/15,-102,Pilgram Cove In 243 N Liberty Dr Tomkins Cove,Ally
9/26/15,-298.21,CRATE & BARREL #914 800-967-6696,Ally
9/24/15,-42.64,WALGREENS BROOKLYN,Ally
9/24/15,-416.96,VOLKSWAGEN CREDI ALLY BANK,Ally
9/23/15,-10.89,THE KATIROLL COMPANY NEW YORK,Ally
9/22/15,-40.99,573 CANDY GROCE 573 NOSTRAND AVENU BROOKLYN,Ally
9/22/15,-35,PAYPAL INST XFER,Ally
9/21/15,2500,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
9/18/15,-25,MTATB ONLINE ACH ACH TRAN,Ally
9/17/15,-41.5,DER SCHWARZE KO 710 FULTON STREET Brooklyn,Ally
9/16/15,-0.18,PAYPAL VERIFYBANK,Ally
9/16/15,0.17,PAYPAL VERIFYBANK,Ally
9/16/15,0.01,PAYPAL VERIFYBANK,Ally
9/11/15,-86.84,GRUBHUB SEAMLESS 8775857878,Ally
9/10/15,15.45,ATM Fee Reimbursement,Ally
9/10/15,0.14,Interest Paid,Ally
9/8/15,-150,WWW.APTDECO.COM 6465869056,Ally
9/8/15,-1746,DEAN ST,Ally
9/7/15,-61.99,ALL NATIONS LUX 687 A WASHINGTON AVUS BROOKLYN,Ally
9/7/15,-54.1,GRUBHUB SEAMLESS 8775857878,Ally
9/4/15,500,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
9/4/15,-28.41,COLINA CUERVO BROOKLYN,Ally
9/3/15,-33.86,Duane Reade NEW YORK,Ally
9/3/15,-20.99,573 CANDY GROCE 573 NOSTRAND AVENU BROOKLYN,Ally
9/2/15,50,Internet transfer from Online Savings account XXXXXX2493,Ally
9/2/15,-12.16,KEY FOODS #1370 BROOKLYN,Ally
9/2/15,-59.95,CABLEVISION ALLY BANK,Ally
9/1/15,-24.55,BROOKLYN BORN MINI MAR BROOKLYN,Ally
9/1/15,500,Internet transfer from Online Savings account XXXXXX2485,Ally
9/1/15,-11.75,MTATB REBILL AC ACH TRAN,Ally
8/31/15,-16.63,WALGREENS BROOKLYN,Ally
8/31/15,-20.99,573 CANDY GROCE 573 NOSTRAND AVENU BROOKLYN,Ally
8/31/15,-23.03,MTATB REBILL AC ACH TRAN,Ally
8/30/15,250,Internet transfer from Online Savings account XXXXXX2493,Ally
8/29/15,-101.5,600 MACDADE BLVD FOLSOM,Ally
8/28/15,-22,BP BROOKLYN - 1 1013 ATLANTIC AVE. BROOKLYN,Ally
8/28/15,-22,BP BROOKLYN - 1 1013 ATLANTIC AVE. BROOKLYN,Ally
8/28/15,-50.49,CON EDISON SOLUT ALLY BANK,Ally
8/28/15,-200,CENTRAL PARKING ALLY BANK,Ally
8/27/15,-17.64,PINE TREE BROOKLYN,Ally
8/27/15,600,Internet transfer from Online Savings account XXXXXX2493,Ally
8/27/15,-4.23,FOODTOWN #602 BROOKLYN,Ally
8/26/15,-41.75,PAI ISO 585 VANDERBILT AVE BROOKLYN,Ally
8/26/15,-36,DIAPERKIND 7189659555,Ally
8/26/15,-5,CENTRAL PARKING ALLY BANK,Ally
8/25/15,-416.96,VOLKSWAGEN CREDI ALLY BANK,Ally
8/25/15,-161.92,VERIZON COMMUNIC ALLY BANK,Ally
8/24/15,-51.26,FOODTOWN #602 BROOKLYN,Ally
8/24/15,-37.62,BROOKLYN LARDER BROOKLYN,Ally
8/24/15,-16.91,SHAKE SHACK 1122 BROOKLYN,Ally
8/24/15,-28.95,BROOK VIN BROOKLYN,Ally
8/24/15,-13.5,HANCO'S BUBBLE TEA & V BROOKLYN,Ally
8/24/15,-33.12,GRUBHUB SEAMLESS 8775857878,Ally
8/23/15,-40.99,573 CANDY GROCE 573 NOSTRAND AVENU BROOKLYN,Ally
8/21/15,-11.17,KEY FOODS #1370 BROOKLYN,Ally
8/21/15,-29.9,INAKA JAPANESE CUISINE BROOKLYN,Ally
8/19/15,-81.11,DIAPERKIND 7189659555,Ally
8/19/15,1700,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
8/19/15,-36,DIAPERKIND 7189659555,Ally
8/18/15,-121.4,DIAPERKIND 7189659555,Ally
8/18/15,-5.54,MTATB REBILL AC ACH TRAN,Ally
8/17/15,-600,AT 1ST SIGHT 6463349368,Ally
8/17/15,-20.99,573 CANDY GROCE 573 NOSTRAND AVENU BROOKLYN,Ally
8/17/15,-28.99,WALGREENS BROOKLYN,Ally
8/17/15,-1.66,MTATB REBILL AC ACH TRAN,Ally
8/17/15,-5.54,MTATB REBILL AC ACH TRAN,Ally
8/17/15,-12.12,SQ *SHELBURNE FALLS CO Greenfield,Ally
8/16/15,-60.17,FOODTOWN #602 BROOKLYN,Ally
8/15/15,-102.25,JIFFY MART #-24 530 WAITS RIVER ROAD BRADFORD,Ally
8/15/15,-59.34,FARM-WAY INC. BRADFORD,Ally
8/15/15,-51.05,LOCAL BUZZ LLC BRADFORD,Ally
8/15/15,-23.16,WHATELY DINER WHATELY,Ally
8/13/15,-7.5,TWO BOOTS - HELL'S KIT NEW YORK,Ally
8/13/15,-10.84,BRAD MINI-MART BRADFORD,Ally
8/13/15,-2.5,MTATB REBILL AC ACH TRAN,Ally
8/12/15,-36,DIAPERKIND 7189659555,Ally
8/12/15,-2.76,MTATB REBILL AC ACH TRAN,Ally
8/11/15,-187.37,GEICO ALLY BANK,Ally
8/11/15,-35.26,CON EDISON SOLUT ALLY BANK,Ally
8/11/15,-11.08,MTATB REBILL AC ACH TRAN,Ally
8/10/15,3.24,ATM Fee Reimbursement,Ally
8/10/15,0.11,Interest Paid,Ally
8/10/15,-19.53,WALGREENS BROOKLYN,Ally
8/10/15,-31.43,DOMINICKS CAFE KINGSTON,Ally
8/10/15,-42.26,GRUBHUB SEAMLESS 8775857878,Ally
8/10/15,-37.49,THE GENERAL GREENE BROOKLYN,Ally
8/9/15,-17.42,GRUBHUB SEAMLESS 8775857878,Ally
8/9/15,-33.43,KEY FOODS #1370 BROOKLYN,Ally
8/7/15,-21.16,MET FOOD BROOKLYN,Ally
8/6/15,-10,PACIFIC SUPERMA BROOKLYN,Ally
8/6/15,700,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
8/5/15,1418,eCheck Deposit,Ally
8/5/15,-36,DIAPERKIND 7189659555,Ally
8/5/15,-11.75,MTATB REBILL AC ACH TRAN,Ally
8/4/15,100,Overdraft Transfer,Ally
